groupe,code_h,ligne,valeurs
Chiffre d'affaire,1.,RECETTES,"{'Réel Annuelle 2022': '1856015 €', 'Réel Annuelle 2023': '2065453 €', 'Réel Annuelle 2024': '2193409 €', 'Budget Annuelle 2025': '2205868 €', 'Prévision Annuelle 2025': '2182306 €', 'Budget Annuelle 2026': '2221683 €'}"
Chiffre d'affaire,1.1.,Loyers logements et parkings HT,"{'Réel Annuelle 2022': '1715744 €', 'Réel Annuelle 2023': '1908910 €', 'Réel Annuelle 2024': '2026364 €', 'Budget Annuelle 2025': '2038521 €', 'Prévision Annuelle 2025': '2023357 €', 'Budget Annuelle 2026': '2057395 €'}"
Chiffre d'affaire,1.1.1.,CA Locatif Estudines,"{'Réel Annuelle 2022': '1709962 €', 'Réel Annuelle 2023': '1903970 €', 'Réel Annuelle 2024': '2019099 €', 'Budget Annuelle 2025': '2031296 €', 'Prévision Annuelle 2025': '2017043 €', 'Budget Annuelle 2026': '2050195 €'}"
Chiffre d'affaire,1.1.4.,CA Locatif Parkings,"{'Réel Annuelle 2022': '5782 €', 'Réel Annuelle 2023': '4940 €', 'Réel Annuelle 2024': '7265 €', 'Budget Annuelle 2025': '7224 €', 'Prévision Annuelle 2025': '6315 €', 'Budget Annuelle 2026': '7200 €'}"
Chiffre d'affaire,1.2.,RECETTES ANNEXES,"{'Réel Annuelle 2022': '129946 €', 'Réel Annuelle 2023': '182250 €', 'Réel Annuelle 2024': '203148 €', 'Budget Annuelle 2025': '179398 €', 'Prévision Annuelle 2025': '171106 €', 'Budget Annuelle 2026': '176470 €'}"
Chiffre d'affaire,1.2.2.,CA Frais locatif,"{'Réel Annuelle 2022': '24051 €', 'Réel Annuelle 2023': '31173 €', 'Réel Annuelle 2024': '26810 €', 'Budget Annuelle 2025': '30696 €', 'Prévision Annuelle 2025': '21597 €', 'Budget Annuelle 2026': '23420 €'}"
Chiffre d'affaire,1.2.5.,CA Laverie-Ménage,"{'Réel Annuelle 2022': '13666 €', 'Réel Annuelle 2023': '16424 €', 'Réel Annuelle 2024': '16936 €', 'Budget Annuelle 2025': '15231 €', 'Prévision Annuelle 2025': '15624 €', 'Budget Annuelle 2026': '17700 €'}"
Chiffre d'affaire,1.2.5.2.,Laverie,"{'Réel Annuelle 2022': '13491 €', 'Réel Annuelle 2023': '16319 €', 'Réel Annuelle 2024': '16936 €', 'Budget Annuelle 2025': '15231 €', 'Prévision Annuelle 2025': '15624 €', 'Budget Annuelle 2026': '17700 €'}"
Chiffre d'affaire,1.2.5.4.,Ménage supplémentaire,"{'Réel Annuelle 2022': '175 €', 'Réel Annuelle 2023': '105 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Chiffre d'affaire,1.2.8.,CA Divers,"{'Réel Annuelle 2022': '233 €', 'Réel Annuelle 2023': '6383 €', 'Réel Annuelle 2024': '1646 €', 'Budget Annuelle 2025': '3501 €', 'Prévision Annuelle 2025': '3678 €', 'Budget Annuelle 2026': '3350 €'}"
Chiffre d'affaire,1.2.9.,Subvention d'exploitation (Rbst format°),"{'Réel Annuelle 2022': '-1 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Chiffre d'affaire,1.2.12.,Charges de copro récupérables,"{'Réel Annuelle 2022': '91998 €', 'Réel Annuelle 2023': '128270 €', 'Réel Annuelle 2024': '157756 €', 'Budget Annuelle 2025': '129970 €', 'Prévision Annuelle 2025': '130208 €', 'Budget Annuelle 2026': '132000 €'}"
Chiffre d'affaire,1.3.,Commission Agence TO,"{'Réel Annuelle 2022': '-2253 €', 'Réel Annuelle 2023': '-1914 €', 'Réel Annuelle 2024': '-526 €', 'Budget Annuelle 2025': '-1240 €', 'Prévision Annuelle 2025': '-1348 €', 'Budget Annuelle 2026': '-1371 €'}"
Chiffre d'affaire,1.4.,IMPAYES,"{'Réel Annuelle 2022': '12578 €', 'Réel Annuelle 2023': '-23793 €', 'Réel Annuelle 2024': '-35577 €', 'Budget Annuelle 2025': '-10810 €', 'Prévision Annuelle 2025': '-10810 €', 'Budget Annuelle 2026': '-10810 €'}"
Chiffre d'affaire,1.4.1.,Impayés locataires,"{'Réel Annuelle 2022': '11841 €', 'Réel Annuelle 2023': '-17737 €', 'Réel Annuelle 2024': '-8137 €', 'Budget Annuelle 2025': '-10810 €', 'Prévision Annuelle 2025': '-10810 €', 'Budget Annuelle 2026': '-10810 €'}"
Chiffre d'affaire,1.4.2.,Impayés Apparthotels,"{'Réel Annuelle 2022': '737 €', 'Réel Annuelle 2023': '-6056 €', 'Réel Annuelle 2024': '-27440 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.,CHARGES D'IMMEUBLE DIRECTES,"{'Réel Annuelle 2022': '674637 €', 'Réel Annuelle 2023': '613230 €', 'Réel Annuelle 2024': '663916 €', 'Budget Annuelle 2025': '650619 €', 'Prévision Annuelle 2025': '666871 €', 'Budget Annuelle 2026': '602278 €'}"
Charge,2.1.,FRAIS DE PERSONNEL,"{'Réel Annuelle 2022': '161106 €', 'Réel Annuelle 2023': '163977 €', 'Réel Annuelle 2024': '168150 €', 'Budget Annuelle 2025': '202380 €', 'Prévision Annuelle 2025': '196281 €', 'Budget Annuelle 2026': '145653 €'}"
Charge,2.1.1.,Salaires,"{'Réel Annuelle 2022': '46528 €', 'Réel Annuelle 2023': '37555 €', 'Réel Annuelle 2024': '84390 €', 'Budget Annuelle 2025': '90959 €', 'Prévision Annuelle 2025': '91891 €', 'Budget Annuelle 2026': '80128 €'}"
Charge,2.1.2.,Charges sur salaires,"{'Réel Annuelle 2022': '13824 €', 'Réel Annuelle 2023': '13047 €', 'Réel Annuelle 2024': '22108 €', 'Budget Annuelle 2025': '27694 €', 'Prévision Annuelle 2025': '33439 €', 'Budget Annuelle 2026': '26467 €'}"
Charge,2.1.3.,Prime,"{'Réel Annuelle 2022': '5190 €', 'Réel Annuelle 2023': '6416 €', 'Réel Annuelle 2024': '6605 €', 'Budget Annuelle 2025': '8648 €', 'Prévision Annuelle 2025': '10712 €', 'Budget Annuelle 2026': '9481 €'}"
Charge,2.1.6.,Personnel intérimaire,"{'Réel Annuelle 2022': '61640 €', 'Réel Annuelle 2023': '66642 €', 'Réel Annuelle 2024': '2112 €', 'Budget Annuelle 2025': '37080 €', 'Prévision Annuelle 2025': '21759 €', 'Budget Annuelle 2026': '12000 €'}"
Charge,2.1.8.,Frais Yser - Encadrement et commercial,"{'Réel Annuelle 2022': '28231 €', 'Réel Annuelle 2023': '28444 €', 'Réel Annuelle 2024': '31353 €', 'Budget Annuelle 2025': '23389 €', 'Prévision Annuelle 2025': '21677 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.1.9.1.,Autres frais de personnel,"{'Réel Annuelle 2022': '382 €', 'Réel Annuelle 2023': '620 €', 'Réel Annuelle 2024': '4740 €', 'Budget Annuelle 2025': '880 €', 'Prévision Annuelle 2025': '8114 €', 'Budget Annuelle 2026': '8276 €'}"
Charge,2.1.9.2.,Autres frais de personnel - formation,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '25 €', 'Réel Annuelle 2024': '1000 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '500 €', 'Budget Annuelle 2026': '510 €'}"
Charge,2.1.10.,Prestataires sécurité gardiennage,"{'Réel Annuelle 2022': '-78 €', 'Réel Annuelle 2023': '2010 €', 'Réel Annuelle 2024': '786 €', 'Budget Annuelle 2025': '1330 €', 'Prévision Annuelle 2025': '1956 €', 'Budget Annuelle 2026': '1995 €'}"
Charge,2.1.10.1.,Prestataire sécurité gardiennage,"{'Réel Annuelle 2022': '-78 €', 'Réel Annuelle 2023': '2010 €', 'Réel Annuelle 2024': '786 €', 'Budget Annuelle 2025': '1330 €', 'Prévision Annuelle 2025': '1956 €', 'Budget Annuelle 2026': '1995 €'}"
Charge,2.1.11.,Nettoyage Parties Communes,"{'Réel Annuelle 2022': '225 €', 'Réel Annuelle 2023': '2795 €', 'Réel Annuelle 2024': '2899 €', 'Budget Annuelle 2025': '4016 €', 'Prévision Annuelle 2025': '3144 €', 'Budget Annuelle 2026': '3657 €'}"
Charge,2.1.12.,Nettoyage Parties Privatives,"{'Réel Annuelle 2022': '5354 €', 'Réel Annuelle 2023': '6746 €', 'Réel Annuelle 2024': '15028 €', 'Budget Annuelle 2025': '8824 €', 'Prévision Annuelle 2025': '7395 €', 'Budget Annuelle 2026': '7531 €'}"
Charge,2.1.14.,Animation,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
