groupe,code_h,ligne,valeurs
Chiffre d'affaire,1.,RECETTES,"{'Réel Jan 2022': '166643 €', 'Réel Feb 2022': '141995 €', 'Réel Mar 2022': '139423 €', 'Réel Apr 2022': '157690 €', 'Réel May 2022': '133213 €', 'Réel Jun 2022': '136995 €', 'Réel Jul 2022': '175378 €', 'Réel Aug 2022': '141135 €', 'Réel Sep 2022': '151990 €', 'Réel Oct 2022': '201278 €', 'Réel Nov 2022': '162823 €', 'Réel Dec 2022': '147451 €', 'Réel Jan 2023': '183119 €', 'Réel Feb 2023': '158407 €', 'Réel Mar 2023': '155115 €', 'Réel Apr 2023': '185885 €', 'Réel May 2023': '158143 €', 'Réel Jun 2023': '173046 €', 'Réel Jul 2023': '191374 €', 'Réel Aug 2023': '166376 €', 'Réel Sep 2023': '171976 €', 'Réel Oct 2023': '201735 €', 'Réel Nov 2023': '170142 €', 'Réel Dec 2023': '150136 €', 'Réel Jan 2024': '199872 €', 'Réel Feb 2024': '165764 €', 'Réel Mar 2024': '169182 €', 'Réel Apr 2024': '197009 €', 'Réel May 2024': '170751 €', 'Réel Jun 2024': '172138 €', 'Réel Jul 2024': '203792 €', 'Réel Aug 2024': '176372 €', 'Réel Sep 2024': '178409 €', 'Réel Oct 2024': '208224 €', 'Réel Nov 2024': '180249 €', 'Réel Dec 2024': '171647 €', 'Budget Jan 2025': '201541 €', 'Budget Feb 2025': '167132 €', 'Budget Mar 2025': '170307 €', 'Budget Apr 2025': '198725 €', 'Budget May 2025': '172286 €', 'Budget Jun 2025': '173711 €', 'Budget Jul 2025': '205848 €', 'Budget Aug 2025': '178112 €', 'Budget Sep 2025': '180090 €', 'Budget Oct 2025': '210350 €', 'Budget Nov 2025': '181774 €', 'Budget Dec 2025': '165992 €', 'Prévision Jan 2025': '212071 €', 'Prévision Feb 2025': '177667 €', 'Prévision Mar 2025': '172020 €', 'Prévision Apr 2025': '201082 €', 'Prévision May 2025': '167279 €', 'Prévision Jun 2025': '170171 €', 'Prévision Jul 2025': '196665 €', 'Prévision Aug 2025': '173856 €', 'Prévision Sep 2025': '174536 €', 'Prévision Oct 2025': '204356 €', 'Prévision Nov 2025': '172626 €', 'Prévision Dec 2025': '159977 €', 'Budget Jan 2026': '209435 €', 'Budget Feb 2026': '176626 €', 'Budget Mar 2026': '173274 €', 'Budget Apr 2026': '204957 €', 'Budget May 2026': '171803 €', 'Budget Jun 2026': '176400 €', 'Budget Jul 2026': '204364 €', 'Budget Aug 2026': '178761 €', 'Budget Sep 2026': '176367 €', 'Budget Oct 2026': '206846 €', 'Budget Nov 2026': '177050 €', 'Budget Dec 2026': '165800 €'}"
Chiffre d'affaire,1.1.,Loyers logements et parkings HT,"{'Réel Jan 2022': '143177 €', 'Réel Feb 2022': '140713 €', 'Réel Mar 2022': '140431 €', 'Réel Apr 2022': '130839 €', 'Réel May 2022': '130957 €', 'Réel Jun 2022': '132729 €', 'Réel Jul 2022': '133824 €', 'Réel Aug 2022': '135756 €', 'Réel Sep 2022': '147648 €', 'Réel Oct 2022': '159504 €', 'Réel Nov 2022': '160116 €', 'Réel Dec 2022': '160050 €', 'Réel Jan 2023': '156629 €', 'Réel Feb 2023': '155036 €', 'Réel Mar 2023': '151220 €', 'Réel Apr 2023': '146540 €', 'Réel May 2023': '151702 €', 'Réel Jun 2023': '158907 €', 'Réel Jul 2023': '157033 €', 'Réel Aug 2023': '162062 €', 'Réel Sep 2023': '166985 €', 'Réel Oct 2023': '167205 €', 'Réel Nov 2023': '168116 €', 'Réel Dec 2023': '167474 €', 'Réel Jan 2024': '167071 €', 'Réel Feb 2024': '164452 €', 'Réel Mar 2024': '164721 €', 'Réel Apr 2024': '162382 €', 'Réel May 2024': '167159 €', 'Réel Jun 2024': '168403 €', 'Réel Jul 2024': '166688 €', 'Réel Aug 2024': '169411 €', 'Réel Sep 2024': '172838 €', 'Réel Oct 2024': '173124 €', 'Réel Nov 2024': '174620 €', 'Réel Dec 2024': '175496 €', 'Budget Jan 2025': '168408 €', 'Budget Feb 2025': '165703 €', 'Budget Mar 2025': '165934 €', 'Budget Apr 2025': '163665 €', 'Budget May 2025': '168657 €', 'Budget Jun 2025': '169928 €', 'Budget Jul 2025': '168053 €', 'Budget Aug 2025': '170831 €', 'Budget Sep 2025': '174305 €', 'Budget Oct 2025': '174595 €', 'Budget Nov 2025': '176058 €', 'Budget Dec 2025': '172384 €', 'Prévision Jan 2025': '176045 €', 'Prévision Feb 2025': '174895 €', 'Prévision Mar 2025': '169280 €', 'Prévision Apr 2025': '163630 €', 'Prévision May 2025': '163282 €', 'Prévision Jun 2025': '165808 €', 'Prévision Jul 2025': '165968 €', 'Prévision Aug 2025': '168998 €', 'Prévision Sep 2025': '169096 €', 'Prévision Oct 2025': '169360 €', 'Prévision Nov 2025': '167636 €', 'Prévision Dec 2025': '169360 €', 'Budget Jan 2026': '174233 €', 'Budget Feb 2026': '174233 €', 'Budget Mar 2026': '170690 €', 'Budget Apr 2026': '168918 €', 'Budget May 2026': '168918 €', 'Budget Jun 2026': '172014 €', 'Budget Jul 2026': '168479 €', 'Budget Aug 2026': '171577 €', 'Budget Sep 2026': '170979 €', 'Budget Oct 2026': '171862 €', 'Budget Nov 2026': '171862 €', 'Budget Dec 2026': '173628 €'}"
Chiffre d'affaire,1.1.1.,CA Locatif Estudines,"{'Réel Jan 2022': '142098 €', 'Réel Feb 2022': '139996 €', 'Réel Mar 2022': '139868 €', 'Réel Apr 2022': '130404 €', 'Réel May 2022': '130598 €', 'Réel Jun 2022': '132427 €', 'Réel Jul 2022': '133522 €', 'Réel Aug 2022': '135446 €', 'Réel Sep 2022': '147281 €', 'Réel Oct 2022': '159101 €', 'Réel Nov 2022': '159634 €', 'Réel Dec 2022': '159587 €', 'Réel Jan 2023': '156160 €', 'Réel Feb 2023': '154644 €', 'Réel Mar 2023': '150831 €', 'Réel Apr 2023': '146238 €', 'Réel May 2023': '151434 €', 'Réel Jun 2023': '158597 €', 'Réel Jul 2023': '156705 €', 'Réel Aug 2023': '161671 €', 'Réel Sep 2023': '166517 €', 'Réel Oct 2023': '166715 €', 'Réel Nov 2023': '167576 €', 'Réel Dec 2023': '166881 €', 'Réel Jan 2024': '166432 €', 'Réel Feb 2024': '163751 €', 'Réel Mar 2024': '163967 €', 'Réel Apr 2024': '161716 €', 'Réel May 2024': '166675 €', 'Réel Jun 2024': '167931 €', 'Réel Jul 2024': '166075 €', 'Réel Aug 2024': '168830 €', 'Réel Sep 2024': '172280 €', 'Réel Oct 2024': '172564 €', 'Réel Nov 2024': '174009 €', 'Réel Dec 2024': '174869 €', 'Budget Jan 2025': '167806 €', 'Budget Feb 2025': '165101 €', 'Budget Mar 2025': '165332 €', 'Budget Apr 2025': '163063 €', 'Budget May 2025': '168054 €', 'Budget Jun 2025': '169325 €', 'Budget Jul 2025': '167451 €', 'Budget Aug 2025': '170229 €', 'Budget Sep 2025': '173703 €', 'Budget Oct 2025': '173993 €', 'Budget Nov 2025': '175456 €', 'Budget Dec 2025': '171782 €', 'Prévision Jan 2025': '175418 €', 'Prévision Feb 2025': '174322 €', 'Prévision Mar 2025': '168681 €', 'Prévision Apr 2025': '163054 €', 'Prévision May 2025': '162773 €', 'Prévision Jun 2025': '165304 €', 'Prévision Jul 2025': '165489 €', 'Prévision Aug 2025': '168557 €', 'Prévision Sep 2025': '168594 €', 'Prévision Oct 2025': '168858 €', 'Prévision Nov 2025': '167134 €', 'Prévision Dec 2025': '168858 €', 'Budget Jan 2026': '173633 €', 'Budget Feb 2026': '173633 €', 'Budget Mar 2026': '170090 €', 'Budget Apr 2026': '168318 €', 'Budget May 2026': '168318 €', 'Budget Jun 2026': '171414 €', 'Budget Jul 2026': '167879 €', 'Budget Aug 2026': '170977 €', 'Budget Sep 2026': '170379 €', 'Budget Oct 2026': '171262 €', 'Budget Nov 2026': '171262 €', 'Budget Dec 2026': '173028 €'}"
Chiffre d'affaire,1.1.4.,CA Locatif Parkings,"{'Réel Jan 2022': '1078 €', 'Réel Feb 2022': '716 €', 'Réel Mar 2022': '564 €', 'Réel Apr 2022': '435 €', 'Réel May 2022': '359 €', 'Réel Jun 2022': '302 €', 'Réel Jul 2022': '302 €', 'Réel Aug 2022': '311 €', 'Réel Sep 2022': '367 €', 'Réel Oct 2022': '403 €', 'Réel Nov 2022': '482 €', 'Réel Dec 2022': '463 €', 'Réel Jan 2023': '469 €', 'Réel Feb 2023': '392 €', 'Réel Mar 2023': '388 €', 'Réel Apr 2023': '302 €', 'Réel May 2023': '268 €', 'Réel Jun 2023': '310 €', 'Réel Jul 2023': '328 €', 'Réel Aug 2023': '391 €', 'Réel Sep 2023': '468 €', 'Réel Oct 2023': '491 €', 'Réel Nov 2023': '540 €', 'Réel Dec 2023': '593 €', 'Réel Jan 2024': '639 €', 'Réel Feb 2024': '701 €', 'Réel Mar 2024': '754 €', 'Réel Apr 2024': '666 €', 'Réel May 2024': '484 €', 'Réel Jun 2024': '472 €', 'Réel Jul 2024': '612 €', 'Réel Aug 2024': '581 €', 'Réel Sep 2024': '557 €', 'Réel Oct 2024': '560 €', 'Réel Nov 2024': '612 €', 'Réel Dec 2024': '627 €', 'Budget Jan 2025': '602 €', 'Budget Feb 2025': '602 €', 'Budget Mar 2025': '602 €', 'Budget Apr 2025': '602 €', 'Budget May 2025': '602 €', 'Budget Jun 2025': '602 €', 'Budget Jul 2025': '602 €', 'Budget Aug 2025': '602 €', 'Budget Sep 2025': '602 €', 'Budget Oct 2025': '602 €', 'Budget Nov 2025': '602 €', 'Budget Dec 2025': '602 €', 'Prévision Jan 2025': '627 €', 'Prévision Feb 2025': '572 €', 'Prévision Mar 2025': '599 €', 'Prévision Apr 2025': '576 €', 'Prévision May 2025': '509 €', 'Prévision Jun 2025': '503 €', 'Prévision Jul 2025': '479 €', 'Prévision Aug 2025': '441 €', 'Prévision Sep 2025': '502 €', 'Prévision Oct 2025': '502 €', 'Prévision Nov 2025': '502 €', 'Prévision Dec 2025': '502 €', 'Budget Jan 2026': '600 €', 'Budget Feb 2026': '600 €', 'Budget Mar 2026': '600 €', 'Budget Apr 2026': '600 €', 'Budget May 2026': '600 €', 'Budget Jun 2026': '600 €', 'Budget Jul 2026': '600 €', 'Budget Aug 2026': '600 €', 'Budget Sep 2026': '600 €', 'Budget Oct 2026': '600 €', 'Budget Nov 2026': '600 €', 'Budget Dec 2026': '600 €'}"
Chiffre d'affaire,1.2.,RECETTES ANNEXES,"{'Réel Jan 2022': '23467 €', 'Réel Feb 2022': '1282 €', 'Réel Mar 2022': '38 €', 'Réel Apr 2022': '26850 €', 'Réel May 2022': '2256 €', 'Réel Jun 2022': '4657 €', 'Réel Jul 2022': '41555 €', 'Réel Aug 2022': '5379 €', 'Réel Sep 2022': '4999 €', 'Réel Oct 2022': '41774 €', 'Réel Nov 2022': '2707 €', 'Réel Dec 2022': '-25018 €', 'Réel Jan 2023': '26509 €', 'Réel Feb 2023': '3521 €', 'Réel Mar 2023': '4074 €', 'Réel Apr 2023': '39524 €', 'Réel May 2023': '6441 €', 'Réel Jun 2023': '14987 €', 'Réel Jul 2023': '34341 €', 'Réel Aug 2023': '4314 €', 'Réel Sep 2023': '5398 €', 'Réel Oct 2023': '34529 €', 'Réel Nov 2023': '2026 €', 'Réel Dec 2023': '6586 €', 'Réel Jan 2024': '32802 €', 'Réel Feb 2024': '1312 €', 'Réel Mar 2024': '4462 €', 'Réel Apr 2024': '34627 €', 'Réel May 2024': '3592 €', 'Réel Jun 2024': '4128 €', 'Réel Jul 2024': '37105 €', 'Réel Aug 2024': '6962 €', 'Réel Sep 2024': '5475 €', 'Réel Oct 2024': '35326 €', 'Réel Nov 2024': '5629 €', 'Réel Dec 2024': '31729 €', 'Budget Jan 2025': '33132 €', 'Budget Feb 2025': '1429 €', 'Budget Mar 2025': '4376 €', 'Budget Apr 2025': '35060 €', 'Budget May 2025': '3629 €', 'Budget Jun 2025': '4454 €', 'Budget Jul 2025': '37795 €', 'Budget Aug 2025': '7282 €', 'Budget Sep 2025': '5620 €', 'Budget Oct 2025': '36141 €', 'Budget Nov 2025': '5716 €', 'Budget Dec 2025': '4763 €', 'Prévision Jan 2025': '36026 €', 'Prévision Feb 2025': '2772 €', 'Prévision Mar 2025': '3260 €', 'Prévision Apr 2025': '37452 €', 'Prévision May 2025': '3998 €', 'Prévision Jun 2025': '4624 €', 'Prévision Jul 2025': '30697 €', 'Prévision Aug 2025': '4859 €', 'Prévision Sep 2025': '5276 €', 'Prévision Oct 2025': '35382 €', 'Prévision Nov 2025': '4990 €', 'Prévision Dec 2025': '1772 €', 'Budget Jan 2026': '35320 €', 'Budget Feb 2026': '2500 €', 'Budget Mar 2026': '2700 €', 'Budget Apr 2026': '36150 €', 'Budget May 2026': '3000 €', 'Budget Jun 2026': '4500 €', 'Budget Jul 2026': '36000 €', 'Budget Aug 2026': '7300 €', 'Budget Sep 2026': '5500 €', 'Budget Oct 2026': '35100 €', 'Budget Nov 2026': '5300 €', 'Budget Dec 2026': '3100 €'}"
Chiffre d'affaire,1.2.2.,CA Frais locatif,"{'Réel Jan 2022': '791 €', 'Réel Feb 2022': '1202 €', 'Réel Mar 2022': '491 €', 'Réel Apr 2022': '809 €', 'Réel May 2022': '1382 €', 'Réel Jun 2022': '2643 €', 'Réel Jul 2022': '2427 €', 'Réel Aug 2022': '4358 €', 'Réel Sep 2022': '3821 €', 'Réel Oct 2022': '2674 €', 'Réel Nov 2022': '2253 €', 'Réel Dec 2022': '1198 €', 'Réel Jan 2023': '2141 €', 'Réel Feb 2023': '1216 €', 'Réel Mar 2023': '2524 €', 'Réel Apr 2023': '5137 €', 'Réel May 2023': '2557 €', 'Réel Jun 2023': '3211 €', 'Réel Jul 2023': '2167 €', 'Réel Aug 2023': '2968 €', 'Réel Sep 2023': '3932 €', 'Réel Oct 2023': '2307 €', 'Réel Nov 2023': '1755 €', 'Réel Dec 2023': '1257 €', 'Réel Jan 2024': '628 €', 'Réel Feb 2024': '1062 €', 'Réel Mar 2024': '1473 €', 'Réel Apr 2024': '1842 €', 'Réel May 2024': '2102 €', 'Réel Jun 2024': '2567 €', 'Réel Jul 2024': '2236 €', 'Réel Aug 2024': '6124 €', 'Réel Sep 2024': '3966 €', 'Réel Oct 2024': '2169 €', 'Réel Nov 2024': '1911 €', 'Réel Dec 2024': '730 €', 'Budget Jan 2025': '672 €', 'Budget Feb 2025': '1136 €', 'Budget Mar 2025': '1577 €', 'Budget Apr 2025': '1971 €', 'Budget May 2025': '2249 €', 'Budget Jun 2025': '2748 €', 'Budget Jul 2025': '2393 €', 'Budget Aug 2025': '6555 €', 'Budget Sep 2025': '4245 €', 'Budget Oct 2025': '2322 €', 'Budget Nov 2025': '2045 €', 'Budget Dec 2025': '2784 €', 'Prévision Jan 2025': '719 €', 'Prévision Feb 2025': '617 €', 'Prévision Mar 2025': '1610 €', 'Prévision Apr 2025': '2225 €', 'Prévision May 2025': '1412 €', 'Prévision Jun 2025': '2199 €', 'Prévision Jul 2025': '1525 €', 'Prévision Aug 2025': '3189 €', 'Prévision Sep 2025': '3900 €', 'Prévision Oct 2025': '1800 €', 'Prévision Nov 2025': '1900 €', 'Prévision Dec 2025': '500 €', 'Budget Jan 2026': '720 €', 'Budget Feb 2026': '700 €', 'Budget Mar 2026': '1000 €', 'Budget Apr 2026': '1500 €', 'Budget May 2026': '1000 €', 'Budget Jun 2026': '2000 €', 'Budget Jul 2026': '1500 €', 'Budget Aug 2026': '6000 €', 'Budget Sep 2026': '4000 €', 'Budget Oct 2026': '2000 €', 'Budget Nov 2026': '1800 €', 'Budget Dec 2026': '1200 €'}"
Chiffre d'affaire,1.2.5.,CA Laverie-Ménage,"{'Réel Jan 2022': '0 €', 'Réel Feb 2022': '0 €', 'Réel Mar 2022': '0 €', 'Réel Apr 2022': '3444 €', 'Réel May 2022': '0 €', 'Réel Jun 2022': '2054 €', 'Réel Jul 2022': '1092 €', 'Réel Aug 2022': '986 €', 'Réel Sep 2022': '971 €', 'Réel Oct 2022': '1105 €', 'Réel Nov 2022': '70 €', 'Réel Dec 2022': '3944 €', 'Réel Jan 2023': '0 €', 'Réel Feb 2023': '1454 €', 'Réel Mar 2023': '1175 €', 'Réel Apr 2023': '1272 €', 'Réel May 2023': '2738 €', 'Réel Jun 2023': '1471 €', 'Réel Jul 2023': '1500 €', 'Réel Aug 2023': '1168 €', 'Réel Sep 2023': '1465 €', 'Réel Oct 2023': '1468 €', 'Réel Nov 2023': '0 €', 'Réel Dec 2023': '2712 €', 'Réel Jan 2024': '1262 €', 'Réel Feb 2024': '0 €', 'Réel Mar 2024': '2670 €', 'Réel Apr 2024': '1427 €', 'Réel May 2024': '1390 €', 'Réel Jun 2024': '1313 €', 'Réel Jul 2024': '1365 €', 'Réel Aug 2024': '1160 €', 'Réel Sep 2024': '1489 €', 'Réel Oct 2024': '0 €', 'Réel Nov 2024': '3292 €', 'Réel Dec 2024': '1568 €', 'Budget Jan 2025': '1146 €', 'Budget Feb 2025': '0 €', 'Budget Mar 2025': '2425 €', 'Budget Apr 2025': '1296 €', 'Budget May 2025': '1263 €', 'Budget Jun 2025': '1193 €', 'Budget Jul 2025': '1240 €', 'Budget Aug 2025': '1053 €', 'Budget Sep 2025': '1352 €', 'Budget Oct 2025': '0 €', 'Budget Nov 2025': '2990 €', 'Budget Dec 2025': '1272 €', 'Prévision Jan 2025': '1461 €', 'Prévision Feb 2025': '1353 €', 'Prévision Mar 2025': '1501 €', 'Prévision Apr 2025': '1402 €', 'Prévision May 2025': '1600 €', 'Prévision Jun 2025': '1423 €', 'Prévision Jul 2025': '0 €', 'Prévision Aug 2025': '1270 €', 'Prévision Sep 2025': '1352 €', 'Prévision Oct 2025': '0 €', 'Prévision Nov 2025': '2990 €', 'Prévision Dec 2025': '1272 €', 'Budget Jan 2026': '1500 €', 'Budget Feb 2026': '1400 €', 'Budget Mar 2026': '1500 €', 'Budget Apr 2026': '1500 €', 'Budget May 2026': '1600 €', 'Budget Jun 2026': '1500 €', 'Budget Jul 2026': '1400 €', 'Budget Aug 2026': '1200 €', 'Budget Sep 2026': '1400 €', 'Budget Oct 2026': '0 €', 'Budget Nov 2026': '3200 €', 'Budget Dec 2026': '1500 €'}"
Chiffre d'affaire,1.2.5.2.,Laverie,"{'Réel Jan 2022': '0 €', 'Réel Feb 2022': '0 €', 'Réel Mar 2022': '0 €', 'Réel Apr 2022': '3444 €', 'Réel May 2022': '0 €', 'Réel Jun 2022': '2054 €', 'Réel Jul 2022': '1022 €', 'Réel Aug 2022': '951 €', 'Réel Sep 2022': '971 €', 'Réel Oct 2022': '1105 €', 'Réel Nov 2022': '0 €', 'Réel Dec 2022': '3944 €', 'Réel Jan 2023': '0 €', 'Réel Feb 2023': '1384 €', 'Réel Mar 2023': '1140 €', 'Réel Apr 2023': '1272 €', 'Réel May 2023': '2738 €', 'Réel Jun 2023': '1471 €', 'Réel Jul 2023': '1500 €', 'Réel Aug 2023': '1168 €', 'Réel Sep 2023': '1465 €', 'Réel Oct 2023': '1468 €', 'Réel Nov 2023': '0 €', 'Réel Dec 2023': '2712 €', 'Réel Jan 2024': '1262 €', 'Réel Feb 2024': '0 €', 'Réel Mar 2024': '2670 €', 'Réel Apr 2024': '1427 €', 'Réel May 2024': '1390 €', 'Réel Jun 2024': '1313 €', 'Réel Jul 2024': '1365 €', 'Réel Aug 2024': '1160 €', 'Réel Sep 2024': '1489 €', 'Réel Oct 2024': '0 €', 'Réel Nov 2024': '3292 €', 'Réel Dec 2024': '1568 €', 'Budget Jan 2025': '1146 €', 'Budget Feb 2025': '0 €', 'Budget Mar 2025': '2425 €', 'Budget Apr 2025': '1296 €', 'Budget May 2025': '1263 €', 'Budget Jun 2025': '1193 €', 'Budget Jul 2025': '1240 €', 'Budget Aug 2025': '1053 €', 'Budget Sep 2025': '1352 €', 'Budget Oct 2025': '0 €', 'Budget Nov 2025': '2990 €', 'Budget Dec 2025': '1272 €', 'Prévision Jan 2025': '1461 €', 'Prévision Feb 2025': '1353 €', 'Prévision Mar 2025': '1501 €', 'Prévision Apr 2025': '1402 €', 'Prévision May 2025': '1600 €', 'Prévision Jun 2025': '1423 €', 'Prévision Jul 2025': '0 €', 'Prévision Aug 2025': '1270 €', 'Prévision Sep 2025': '1352 €', 'Prévision Oct 2025': '0 €', 'Prévision Nov 2025': '2990 €', 'Prévision Dec 2025': '1272 €', 'Budget Jan 2026': '1500 €', 'Budget Feb 2026': '1400 €', 'Budget Mar 2026': '1500 €', 'Budget Apr 2026': '1500 €', 'Budget May 2026': '1600 €', 'Budget Jun 2026': '1500 €', 'Budget Jul 2026': '1400 €', 'Budget Aug 2026': '1200 €', 'Budget Sep 2026': '1400 €', 'Budget Oct 2026': '0 €', 'Budget Nov 2026': '3200 €', 'Budget Dec 2026': '1500 €'}"
Chiffre d'affaire,1.2.5.4.,Ménage supplémentaire,"{'Réel Jan 2022': '0 €', 'Réel Feb 2022': '0 €', 'Réel Mar 2022': '0 €', 'Réel Apr 2022': '0 €', 'Réel May 2022': '0 €', 'Réel Jun 2022': '0 €', 'Réel Jul 2022': '70 €', 'Réel Aug 2022': '35 €', 'Réel Sep 2022': '0 €', 'Réel Oct 2022': '0 €', 'Réel Nov 2022': '70 €', 'Réel Dec 2022': '0 €', 'Réel Jan 2023': '0 €', 'Réel Feb 2023': '70 €', 'Réel Mar 2023': '35 €', 'Réel Apr 2023': '0 €', 'Réel May 2023': '0 €', 'Réel Jun 2023': '0 €', 'Réel Jul 2023': '0 €', 'Réel Aug 2023': '0 €', 'Réel Sep 2023': '0 €', 'Réel Oct 2023': '0 €', 'Réel Nov 2023': '0 €', 'Réel Dec 2023': '0 €', 'Réel Jan 2024': '0 €', 'Réel Feb 2024': '0 €', 'Réel Mar 2024': '0 €', 'Réel Apr 2024': '0 €', 'Réel May 2024': '0 €', 'Réel Jun 2024': '0 €', 'Réel Jul 2024': '0 €', 'Réel Aug 2024': '0 €', 'Réel Sep 2024': '0 €', 'Réel Oct 2024': '0 €', 'Réel Nov 2024': '0 €', 'Réel Dec 2024': '0 €', 'Budget Jan 2025': '0 €', 'Budget Feb 2025': '0 €', 'Budget Mar 2025': '0 €', 'Budget Apr 2025': '0 €', 'Budget May 2025': '0 €', 'Budget Jun 2025': '0 €', 'Budget Jul 2025': '0 €', 'Budget Aug 2025': '0 €', 'Budget Sep 2025': '0 €', 'Budget Oct 2025': '0 €', 'Budget Nov 2025': '0 €', 'Budget Dec 2025': '0 €', 'Prévision Jan 2025': '0 €', 'Prévision Feb 2025': '0 €', 'Prévision Mar 2025': '0 €', 'Prévision Apr 2025': '0 €', 'Prévision May 2025': '0 €', 'Prévision Jun 2025': '0 €', 'Prévision Jul 2025': '0 €', 'Prévision Aug 2025': '0 €', 'Prévision Sep 2025': '0 €', 'Prévision Oct 2025': '0 €', 'Prévision Nov 2025': '0 €', 'Prévision Dec 2025': '0 €', 'Budget Jan 2026': '0 €', 'Budget Feb 2026': '0 €', 'Budget Mar 2026': '0 €', 'Budget Apr 2026': '0 €', 'Budget May 2026': '0 €', 'Budget Jun 2026': '0 €', 'Budget Jul 2026': '0 €', 'Budget Aug 2026': '0 €', 'Budget Sep 2026': '0 €', 'Budget Oct 2026': '0 €', 'Budget Nov 2026': '0 €', 'Budget Dec 2026': '0 €'}"
Chiffre d'affaire,1.2.8.,CA Divers,"{'Réel Jan 2022': '102 €', 'Réel Feb 2022': '80 €', 'Réel Mar 2022': '-452 €', 'Réel Apr 2022': '60 €', 'Réel May 2022': '874 €', 'Réel Jun 2022': '-41 €', 'Réel Jul 2022': '90 €', 'Réel Aug 2022': '35 €', 'Réel Sep 2022': '206 €', 'Réel Oct 2022': '50 €', 'Réel Nov 2022': '384 €', 'Réel Dec 2022': '-1155 €', 'Réel Jan 2023': '791 €', 'Réel Feb 2023': '852 €', 'Réel Mar 2023': '375 €', 'Réel Apr 2023': '944 €', 'Réel May 2023': '1145 €', 'Réel Jun 2023': '1713 €', 'Réel Jul 2023': '0 €', 'Réel Aug 2023': '177 €', 'Réel Sep 2023': '0 €', 'Réel Oct 2023': '80 €', 'Réel Nov 2023': '271 €', 'Réel Dec 2023': '35 €', 'Réel Jan 2024': '40 €', 'Réel Feb 2024': '250 €', 'Réel Mar 2024': '319 €', 'Réel Apr 2024': '203 €', 'Réel May 2024': '100 €', 'Réel Jun 2024': '247 €', 'Réel Jul 2024': '20 €', 'Réel Aug 2024': '0 €', 'Réel Sep 2024': '20 €', 'Réel Oct 2024': '20 €', 'Réel Nov 2024': '426 €', 'Réel Dec 2024': '0 €', 'Budget Jan 2025': '47 €', 'Budget Feb 2025': '293 €', 'Budget Mar 2025': '373 €', 'Budget Apr 2025': '238 €', 'Budget May 2025': '117 €', 'Budget Jun 2025': '513 €', 'Budget Jul 2025': '250 €', 'Budget Aug 2025': '0 €', 'Budget Sep 2025': '23 €', 'Budget Oct 2025': '257 €', 'Budget Nov 2025': '681 €', 'Budget Dec 2025': '708 €', 'Prévision Jan 2025': '20 €', 'Prévision Feb 2025': '802 €', 'Prévision Mar 2025': '148 €', 'Prévision Apr 2025': '0 €', 'Prévision May 2025': '986 €', 'Prévision Jun 2025': '1002 €', 'Prévision Jul 2025': '176 €', 'Prévision Aug 2025': '400 €', 'Prévision Sep 2025': '23 €', 'Prévision Oct 2025': '20 €', 'Prévision Nov 2025': '100 €', 'Prévision Dec 2025': '0 €', 'Budget Jan 2026': '100 €', 'Budget Feb 2026': '400 €', 'Budget Mar 2026': '200 €', 'Budget Apr 2026': '150 €', 'Budget May 2026': '400 €', 'Budget Jun 2026': '1000 €', 'Budget Jul 2026': '100 €', 'Budget Aug 2026': '100 €', 'Budget Sep 2026': '100 €', 'Budget Oct 2026': '100 €', 'Budget Nov 2026': '300 €', 'Budget Dec 2026': '400 €'}"
