text,meta_chunk_type,meta_residence,meta_year,meta_contexte,meta_groupe,meta_code_h,meta_ligne,meta_row_index,meta_years,meta_trend_metadata
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2022
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.
Ligne analytique: RECETTES
Valeur annuelle: 1856015 €
",LINE_CELL,Noisy,2022.0,Réel,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES
Année: 2022
Contexte utilisé: Réel
Valeur 2022: 1856015 €
Valeur 2021: N/A
Variation: N/A
Code Hiérarchique: 1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2022.0,,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2023
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.
Ligne analytique: RECETTES
Valeur annuelle: 2065453 €
",LINE_CELL,Noisy,2023.0,Réel,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES
Année: 2023
Contexte utilisé: Réel
Valeur 2023: 2065453 €
Valeur 2022: 1856015 €
Variation: 11.28% vs 2022
Code Hiérarchique: 1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2023.0,,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2024
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.
Ligne analytique: RECETTES
Valeur annuelle: 2193409 €
",LINE_CELL,Noisy,2024.0,Réel,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES
Année: 2024
Contexte utilisé: Réel
Valeur 2024: 2193409 €
Valeur 2023: 2065453 €
Variation: 6.20% vs 2023
Code Hiérarchique: 1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2024.0,,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2025
Contexte: Prévision
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.
Ligne analytique: RECETTES
Valeur annuelle: 2182306 €
",LINE_CELL,Noisy,2025.0,Prévision,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES
Année: 2025
Contexte utilisé: Prévision
Valeur 2025: 2182306 €
Valeur 2024: 2193409 €
Variation: -0.51% vs 2024
Code Hiérarchique: 1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2025.0,,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2026
Contexte: Budget
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.
Ligne analytique: RECETTES
Valeur annuelle: 2221683 €
",LINE_CELL,Noisy,2026.0,Budget,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES
Année: 2026
Contexte utilisé: Budget
Valeur 2026: 2221683 €
Valeur 2025: 2182306 €
Variation: 1.80% vs 2025
Code Hiérarchique: 1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2026.0,,Chiffre d'affaire,1.,RECETTES,0,,
"[TYPE: TREND_MULTI_YEAR]
Résidence: Noisy
Ligne: RECETTES
Années: [2024, 2025, 2026]
Contexte principal trouvé: Réel
Valeurs: 2024: 2193409 €, 2025: 2182306 €, 2026: 2221683 €
Variation globale: 1.29% (2024→2026)
Code Hiérarchique: 1.
Groupe: Chiffre d'affaire
",TREND_MULTI_YEAR,Noisy,,,Chiffre d'affaire,1.,RECETTES,0,"[2024, 2025, 2026]",
"[TYPE: RECOMMENDATION]
Résidence: Noisy
Années examinées: [2024, 2025, 2026]
Variation détectée (extrait trend): 1.3%
Recommandations:
- Tendance stable → maintenir le monitoring mensuel.
",RECOMMENDATION,Noisy,,,,,,0,"[2024, 2025, 2026]","{'chunk_type': 'TREND_MULTI_YEAR', 'residence': 'Noisy', 'years': [2024, 2025, 2026], 'groupe': ""Chiffre d'affaire"", 'code_h': '1.', 'ligne': 'RECETTES', 'row_index': 0}"
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2022
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.
Ligne analytique: Loyers logements et parkings HT
Valeur annuelle: 1715744 €
",LINE_CELL,Noisy,2022.0,Réel,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: Loyers logements et parkings HT
Année: 2022
Contexte utilisé: Réel
Valeur 2022: 1715744 €
Valeur 2021: N/A
Variation: N/A
Code Hiérarchique: 1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2022.0,,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2023
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.
Ligne analytique: Loyers logements et parkings HT
Valeur annuelle: 1908910 €
",LINE_CELL,Noisy,2023.0,Réel,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: Loyers logements et parkings HT
Année: 2023
Contexte utilisé: Réel
Valeur 2023: 1908910 €
Valeur 2022: 1715744 €
Variation: 11.26% vs 2022
Code Hiérarchique: 1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2023.0,,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2024
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.
Ligne analytique: Loyers logements et parkings HT
Valeur annuelle: 2026364 €
",LINE_CELL,Noisy,2024.0,Réel,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: Loyers logements et parkings HT
Année: 2024
Contexte utilisé: Réel
Valeur 2024: 2026364 €
Valeur 2023: 1908910 €
Variation: 6.15% vs 2023
Code Hiérarchique: 1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2024.0,,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2025
Contexte: Prévision
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.
Ligne analytique: Loyers logements et parkings HT
Valeur annuelle: 2023357 €
",LINE_CELL,Noisy,2025.0,Prévision,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: Loyers logements et parkings HT
Année: 2025
Contexte utilisé: Prévision
Valeur 2025: 2023357 €
Valeur 2024: 2026364 €
Variation: -0.15% vs 2024
Code Hiérarchique: 1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2025.0,,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
