,Residence,Colonnes,Annee,Mois,Nature de l'écriture,Contexte,Code_H,Ligne_Analytique,Groupe,Montant
0,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.,RECETTES,Chiffre d'affaire,201541
1,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.1.,Loyers logements et parkings HT,Chiffre d'affaire,168408
2,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.1.1.,CA Locatif Estudines,Chiffre d'affaire,167806
3,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.1.4.,CA Locatif Parkings,Chiffre d'affaire,602
4,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.2.,RECETTES ANNEXES,Chiffre d'affaire,33132
5,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.2.12.,Charges de copro récupérables,Chiffre d'affaire,31267
6,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.2.2.,CA Frais locatif,Chiffre d'affaire,672
7,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.2.5.,CA Laverie-Ménage,Chiffre d'affaire,1146
8,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.2.5.2.,Laverie,Chiffre d'affaire,1146
9,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.2.8.,CA Divers,Chiffre d'affaire,47
10,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.3.,Commission Agence TO,Chiffre d'affaire,0
11,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.4.,IMPAYES,Chiffre d'affaire,0
12,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,1.4.1.,Impayés locataires,Chiffre d'affaire,0
13,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,10,% DES RECETTES TOTALES,Chiffre d'affaire,76
14,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,11.,Dotations aux amortissements (CAPEX),Chiffre d'affaire,2815
15,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,12.,EBITDA,Marge,32422
16,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,14.,FREE CASH FLOW,Marge,32422
17,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.,CHARGES D'IMMEUBLE DIRECTES,Charge,128298
18,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.,FRAIS DE PERSONNEL,Charge,32383
19,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.1.,Salaires,Charge,7452
20,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.10.,Prestataires sécurité gardiennage,Charge,292
21,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.10.1.,Prestataire sécurité gardiennage,Charge,292
22,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.11.,Nettoyage Parties Communes,Charge,2986
23,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.12.,Nettoyage Parties Privatives,Charge,2619
24,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.2.,Charges sur salaires,Charge,1932
25,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.3.,Prime,Charge,149
